Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
PORSCHE,PORSCHE Cayenne Coupé EHybrid,79.990 €,2022,51.873 km,Híbrido enchufable,462 cv,Madrid,https://www.coches.net/porsche-cayenne-coupe-ehybrid-5p-electrico-hibrido-2022-en-madrid-70414145-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ GLB 2.0 GLB 220 D 4MATIC DCT,33.990 €,2021,91.211 km,Diesel,190 cv,Madrid,https://www.coches.net/mercedes-benz-glb-20-glb-220-d-4matic-dct-140kw-190cv-5p-diesel-2021-en-madrid-70414148-covo.aspx
VOLVO,VOLVO XC90 2.0 B5 D AWD RDesign Auto,48.890 €,2021,61.446 km,Híbrido,235 cv,Madrid,https://www.coches.net/volvo-xc90-20-b5-d-awd-rdesign-auto-5p-electrico-hibrido-2021-en-madrid-70414149-covo.aspx
DFSK,DFSK 500 1.5 T Luxury,17.650 €,2025,11.529 km,Gasolina,106 cv,Huelva,https://www.coches.net/dfsk-500-15-t-luxury-5p-gasolina-2024-en-huelva-70414197-covo.aspx
MG,MG MG3 1.5 Standard,15.290 €,2025,14.543 km,Gasolina,116 cv,Huelva,https://www.coches.net/mg-mg3-15-standard-5p-gasolina-2024-en-huelva-70414202-covo.aspx
PORSCHE,PORSCHE Cayenne Coupé EHybrid,75.990 €,2020,85.000 km,Híbrido enchufable,462 cv,Badajoz,https://www.coches.net/porsche-cayenne-coupe-ehybrid-5p-electrico-hibrido-2022-en-badajoz-70414292-covo.aspx
HYUNDAI,HYUNDAI Kona 1.6T XLS,28.990 €,2025,1549 km,Gasolina,150 cv,Murcia,https://www.coches.net/hyundai-kona-16t-150cv-xls-5p-gasolina-2026-en-murcia-70414419-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase S S 500,11.990 €,2002,109.000 km,Gasolina,306 cv,Alicante,https://www.coches.net/mercedes-benz-clase-s-s-500-4p-gasolina-2002-en-alicante-70414516-covo.aspx
JAGUAR,JAGUAR XF 3.0 V6 Diesel S Luxury,14.900 €,2013,164.950 km,Diesel,275 cv,Valencia,https://www.coches.net/jaguar-xf-30-v6-diesel-s-luxury-4p-diesel-2012-en-valencia-70414647-covo.aspx
SKODA,SKODA Karoq 2.0 TDI DSG 4X4 Ambition,15.990 €,2022,182.500 km,Diesel,150 cv,Madrid,https://www.coches.net/skoda-karoq-20-tdi-110kw-150cv-dsg-4x4-ambition-5p-diesel-2022-en-madrid-70414787-covo.aspx
TOYOTA,TOYOTA Land Cruiser 2.8 D4D GX,41.990 €,2021,97.500 km,Diesel,204 cv,Madrid,https://www.coches.net/toyota-land-cruiser-28-d4d-gx-3p-diesel-2021-en-madrid-70414789-covo.aspx
LAND-ROVER,LAND-ROVER Discovery 3.0 SDV6 LANDMARK Auto,54.900 €,2020,58.700 km,Diesel,306 cv,Madrid,https://www.coches.net/land-rover-discovery-30-sdv6-225kw-306cv-landmark-auto-5p-diesel-2020-en-madrid-70414949-covo.aspx
AUDI,AUDI A3 Sportback S line 35 TFSI S tronic,33.900 €,2025,20.297 km,Híbrido,150 cv,Jaén,https://www.coches.net/audi-a3-sportback-s-line-35-tfsi-110kw-s-tronic-5p-electrico-hibrido-2025-en-jaen-70415015-covo.aspx
HYUNDAI,HYUNDAI i10 1.0 Klass,12.990 €,2022,40.006 km,Gasolina,67 cv,Las Palmas,https://www.coches.net/hyundai-i10-10-klass-5p-gasolina-2023-en-las-palmas-70415205-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Polo Life 1.0 TSI,15.890 €,2022,63.559 km,Gasolina,95 cv,Las Palmas,https://www.coches.net/volkswagen-polo-life-10-tsi-70kw-95cv-5p-gasolina-2022-en-las-palmas-70415378-covo.aspx
FORD,FORD Ka 1.3 TDCi Titanium,3.890 €,2009,185.000 km,Diesel,75 cv,Jaén,https://www.coches.net/ford-ka-13-tdci-titanium-3p-diesel-2009-en-jaen-70415439-covo.aspx
