Car_Name,Real_Price,Predicted_Price,URL,Oportunidad_%
FIAT Tipo 1.6 Multijet Business,8470.0,11099.737,https://www.coches.net/fiat-tipo-5p-16-multijet-88kw-120cv-business-5p-diesel-2020-en-madrid-70169353-covo.aspx,23.69188776726223
PEUGEOT 308 Style PureTech 130 SS 6 Vel. MAN,9999.0,13093.514,https://www.coches.net/peugeot-308-5p-style-puretech-130-ss-6-vel-man-5p-gasolina-2019-en-lugo-70495071-covo.aspx,23.633943870406966
JAGUAR XF 3.0 V6 Diesel S Luxury,14900.0,19493.805,https://www.coches.net/jaguar-xf-30-v6-diesel-s-luxury-4p-diesel-2012-en-valencia-70414647-covo.aspx,23.565459699335566
MERCEDES-BENZ Clase S S 500,11990.0,15681.682,https://www.coches.net/mercedes-benz-clase-s-s-500-4p-gasolina-2002-en-alicante-70414516-covo.aspx,23.541363262096336
FORD Focus 1.8 TDCi Titanium,5999.0,7841.2896,https://www.coches.net/ford-focus-18-tdci-titanium-5p-diesel-2009-en-valencia-70306809-covo.aspx,23.494726713639817
CITROEN C5 Aircross BlueHdi SS Shine,11342.0,14817.849,https://www.coches.net/citroen-c5-aircross-bluehdi-96kw-130cv-ss-shine-5p-diesel-2019-en-barcelona-70380304-covo.aspx,23.45717464757748
LAND-ROVER Range Rover Evoque 2.0L TD4 Diesel 4x4 Pure,11990.0,15643.106,https://www.coches.net/land-rover-range-rover-evoque-20l-td4-diesel-150cv-4x4-pure-5p-diesel-2016-en-valencia-70318023-covo.aspx,23.3528197106091
HYUNDAI Santa Fe 2.2 CRDi Klass 4x2 7S,15490.0,20208.662,https://www.coches.net/hyundai-santa-fe-22-crdi-klass-4x2-7s-5p-diesel-2015-en-barcelona-70485929-covo.aspx,23.34970065725413
DS DS 7 Crossback BlueHDi Auto. SO CHIC,19900.0,25952.207,https://www.coches.net/ds-ds-7-crossback-bluehdi-132kw-180cv-auto-so-chic-5p-diesel-2021-en-pontevedra-70504525-covo.aspx,23.32058704665201
PEUGEOT 208 Tech Edition BlueHDi,9990.0,12993.627,https://www.coches.net/peugeot-208-5p-tech-edition-bluehdi-73kw-100cv-5p-diesel-2018-en-madrid-70316429-covo.aspx,23.116155050169578
MERCEDES-BENZ Clase CLA CLA 220 CDI Aut. Urban,12000.0,15607.281,https://www.coches.net/mercedes-benz-clase-cla-cla-220-cdi-aut-urban-4p-diesel-2015-en-murcia-62577119-covo.aspx,23.112809926456602
RENAULT Mégane Equilibre Blue dCi,14985.0,19476.568,https://www.coches.net/renault-megane-equilibre-blue-dci-85-kw-115cv-5p-diesel-2022-en-sta-c-tenerife-70459242-covo.aspx,23.061394987546635
VOLKSWAGEN T-Roc Sport 2.0 TDI DSG,15490.0,20121.32,https://www.coches.net/volkswagen-t-roc-sport-20-tdi-110kw-150cv-dsg-5p-diesel-2021-en-madrid-70344747-covo.aspx,23.016980200960656
