Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
AUDI,AUDI Q5 Black line 40 TDI quattro S tronic,39.999 €,2020,109.000 km,Diesel,190 cv,Pontevedra,https://www.coches.net/audi-q5-black-line-40-tdi-140kw-quattro-s-tronic-5p-diesel-2020-en-pontevedra-61502750-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Caravelle Corta 2.0 TDI 110 CV 6 Ve,38.900 €,2025,3455 km,Diesel,110 cv,Gipuzkoa,https://www.coches.net/volkswagen-caravelle-corta-20-tdi-81-kw-110-cv-6-ve-4p-diesel-2025-en-guipuzcoa-61572121-covo.aspx
CUPRA,CUPRA León SP 1.5 TSI,26.900 €,2024,10.414 km,Gasolina,150 cv,Gipuzkoa,https://www.coches.net/cupra-leon-sp-15-tsi-110kw-150cv-5p-gasolina-2025-en-guipuzcoa-61610126-covo.aspx
CUPRA,CUPRA Formentor 1.5 TSI 150 CV Tech Edition DSG,28.900 €,2024,30.214 km,Gasolina,150 cv,Gipuzkoa,https://www.coches.net/cupra-formentor-15-tsi-110kw-150-cv-tech-edition-dsg-5p-gasolina-2024-en-guipuzcoa-61610360-covo.aspx
VOLKSWAGEN,VOLKSWAGEN ID.4 Pro Mas 77kWh Automatico,39.300 €,2025,5000 km,Eléctrico,286 cv,Gipuzkoa,https://www.coches.net/volkswagen-id4-pro-mas-210kw-286cv-77kwh-automatico-5p-electrico-hibrido-2025-en-guipuzcoa-61628960-covo.aspx
CUPRA,CUPRA León 1.5 TSI,27.900 €,2024,14.439 km,Gasolina,150 cv,Gipuzkoa,https://www.coches.net/cupra-leon-15-tsi-110kw-150cv-5p-gasolina-2025-en-guipuzcoa-61630350-covo.aspx
VOLKSWAGEN,VOLKSWAGEN T-Cross Advance 1.0 TSI,22.900 €,2023,37.000 km,Gasolina,110 cv,Gipuzkoa,https://www.coches.net/volkswagen-t-cross-advance-10-tsi-81kw-110cv-5p-gasolina-2023-en-guipuzcoa-61660352-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Taigo Life 1.0 TSI DSG,18.400 €,2023,75.715 km,Gasolina,110 cv,Valencia,https://www.coches.net/volkswagen-taigo-life-10-tsi-81kw-110cv-dsg-5p-gasolina-2023-en-valencia-61672254-covo.aspx
PORSCHE,PORSCHE 911 GT3 RS,324.900 €,2025,10.595 km,Gasolina,525 cv,Alicante,https://www.coches.net/porsche-911-gt3-rs-2p-gasolina-2025-en-alicante-61674446-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Touareg Prem Eleg 3.0 V6 TDI Tip 4M,36.990 €,2021,82.063 km,Diesel,231 cv,Valencia,https://www.coches.net/volkswagen-touareg-prem-eleg-30-v6-tdi-170kw-tip-4m-5p-diesel-2021-en-valencia-61674841-covo.aspx
AUDI,AUDI A5 Avant TDI 204 CV Black Line,52.900 €,2025,29.082 km,Híbrido,204 cv,Gipuzkoa,https://www.coches.net/audi-a5-avant-tdi-150-kw-204-cv-black-line-5p-electrico-hibrido-2025-en-guipuzcoa-61706839-covo.aspx
