Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
SEAT,SEAT ALTEA 1.6 SELECT,4.490 €,2005,193.000 km,Gasolina,102 cv,Alicante,2026-05-06 14:19:19,B,https://www.coches.net/seat-altea-16-select-5p-gasolina-2006-en-alicante-70426110-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase C C 220 d Coupe,43.990 €,2023,25.000 km,Diesel,194 cv,Alicante,2026-05-06 14:19:19,C,https://www.coches.net/mercedes-benz-clase-c-c-220-d-coupe-2p-diesel-2022-en-alicante-70426117-covo.aspx
MINI,MINI MINI Cooper D Cabrio,11.990 €,2013,121.000 km,Diesel,112 cv,Alicante,2026-05-06 14:19:19,B,https://www.coches.net/mini-mini-cooper-d-cabrio-2p-diesel-2012-en-alicante-70426120-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase E Coupe E 350,31.990 €,2018,193.000 km,Híbrido,299 cv,Alicante,2026-05-06 14:19:19,ECO,https://www.coches.net/mercedes-benz-clase-e-coupe-e-350-2p-electrico-hibrido-2019-en-alicante-70426194-covo.aspx
KIA,KIA Sportage 1.6 TGDi MHEV Drive 4x2,22.790 €,2022,52.952 km,Híbrido,150 cv,Sevilla,2026-05-06 14:19:19,ECO,https://www.coches.net/kia-sportage-16-tgdi-mhev-110kw-150cv-drive-4x2-5p-electrico-hibrido-2022-en-sevilla-70426223-covo.aspx
PORSCHE,PORSCHE Cayenne Coupé,59.990 €,2019,136.000 km,Gasolina,340 cv,Alicante,2026-05-06 14:19:19,C,https://www.coches.net/porsche-cayenne-coupe--5p-gasolina-2020-en-alicante-70426245-covo.aspx
BMW,BMW Serie 7 740i,17.900 €,2012,123.000 km,Gasolina,326 cv,Alicante,2026-05-06 14:19:19,C,https://www.coches.net/bmw-serie-7-740i-4p-gasolina-2012-en-alicante-70426248-covo.aspx
SEAT,SEAT León 1.6 Sport,5.499 €,2006,178.000 km,Gasolina,102 cv,Alicante,2026-05-06 14:19:19,B,https://www.coches.net/seat-leon-16-102cv-sport-5p-gasolina-2006-en-alicante-70426252-covo.aspx
RENAULT,RENAULT Captur zen fast track TCe GPF,16.990 €,2022,58.914 km,Híbrido,140 cv,Sta. C. Tenerife,2026-05-06 14:19:19,ECO,https://www.coches.net/renault-captur-zen-fast-track-tce-103-kw-140cv-gpf-5p-electrico-hibrido-2022-en-sta-c-tenerife-70426333-covo.aspx
OMODA,OMODA 5 1.6 TGDI DCT,22.490 €,2023,57.457 km,Gasolina,197 cv,Sta. C. Tenerife,2026-05-06 14:19:19,C,https://www.coches.net/omoda-5-16-tgdi-145kw-197cv-dct-5p-gasolina-2023-en-sta-c-tenerife-70426343-covo.aspx
PEUGEOT,PEUGEOT 3008 1.2 PureTech SS Allure,19.990 €,2022,19.103 km,Gasolina,130 cv,Sta. C. Tenerife,2026-05-06 14:19:19,C,https://www.coches.net/peugeot-3008-12-puretech-96kw-130cv-ss-allure-5p-gasolina-2021-en-sta-c-tenerife-70426345-covo.aspx
