Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
DACIA,DACIA Duster Expression TCE 74kW100CV ECOG 4X2,17.900 €,2024,46.252 km,Gas licuado (GLP),100 cv,Bizkaia,2026-05-11 13:41:28,ECO,https://www.coches.net/dacia-duster-expression-tce-74kw100cv-ecog-4x2-5p-otros-2024-en-vizcaya-70579443-covo.aspx
CUPRA,CUPRA Formentor 1.5 TSI 150 CV DSG,23.990 €,2023,60.255 km,Gasolina,150 cv,Málaga,2026-05-11 13:41:28,C,https://www.coches.net/cupra-formentor-15-tsi-110kw-150-cv-dsg-5p-gasolina-2022-en-malaga-70582625-covo.aspx
MAZDA,MAZDA Mazda6 2.0 GE Style WGN,15.999 €,2017,112.569 km,Gasolina,145 cv,Sevilla,2026-05-11 13:41:28,C,https://www.coches.net/mazda-mazda6-20-ge-107kw-145cv-style-wgn-5p-gasolina-2017-en-sevilla-70582806-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Scirocco 1.4 TSI,9.990 €,2011,150.000 km,Gasolina,122 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/volkswagen-scirocco-14-tsi-122cv-3p-gasolina-2012-en-madrid-70561564-covo.aspx
KIA,KIA Ceed 1.0 TGDi Drive,20.990 €,2025,11.547 km,Gasolina,100 cv,Barcelona,2026-05-11 13:41:28,C,https://www.coches.net/kia-ceed-10-tgdi-74kw-100cv-drive-5p-gasolina-2025-en-barcelona-70561896-covo.aspx
AUDI,AUDI Q7 3.0 TDI quattro tiptronic Advance,17.800 €,2012,262.000 km,Diesel,204 cv,Asturias,2026-05-11 13:41:28,B,https://www.coches.net/audi-q7-30-tdi-204cv-quattro-tiptronic-advance-5p-diesel-2012-en-asturias-57949668-covo.aspx
CUPRA,CUPRA Formentor 1.5 TSI eHybrid 204 CV DSG,39.900 €,2025,4458 km,Híbrido enchufable,204 cv,Málaga,2026-05-11 13:41:28,CERO,https://www.coches.net/cupra-formentor-15-tsi-ehybrid-150kw-204-cv-dsg-5p-electrico-hibrido-2025-en-malaga-61117475-covo.aspx
CUPRA,CUPRA Terramar 1.5 eTSI 150 CV DSG,40.900 €,2025,10 km,Híbrido,150 cv,Málaga,2026-05-11 13:41:28,ECO,https://www.coches.net/cupra-terramar-15-etsi-110kw-150-cv-dsg-5p-electrico-hibrido-2025-en-malaga-61458190-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ GLE Coupé GLE 350 d 4MATIC,63.800 €,2021,127.000 km,Diesel,272 cv,Alicante,2026-05-11 13:41:28,C,https://www.coches.net/mercedes-benz-gle-coupe-gle-350-d-4matic-5p-diesel-2020-en-alicante-61485424-covo.aspx
CUPRA,CUPRA Tavascan 77kWh Endurance First Edition,36.900 €,2024,19.502 km,Eléctrico,286 cv,Málaga,2026-05-11 13:41:28,CERO,https://www.coches.net/cupra-tavascan-77kwh-210kw-endurance-first-edition-5p-electrico-hibrido-2024-en-malaga-61598689-covo.aspx
