Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
CITROEN,CITROEN C3 PureTech FEEL,9.199 €,2019,39.618 km,Gasolina,82 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/citroen-c3-puretech-60kw-82cv-feel-5p-gasolina-2019-en-barcelona-70549807-covo.aspx
RENAULT,RENAULT Clio techno EcoG,18.900 €,2026,11.353 km,Gas licuado (GLP),100 cv,Bizkaia,2026-05-07 12:22:40,ECO,https://www.coches.net/renault-clio-techno-ecog-100cv-74kw-5p-otros-2025-en-vizcaya-70569582-covo.aspx
AUDI,AUDI A3 Sportback 30 TDI,23.900 €,2021,97.300 km,Diesel,116 cv,Cádiz,2026-05-07 12:22:40,C,https://www.coches.net/audi-a3-sportback-30-tdi-85kw-116cv-5p-diesel-2022-en-cadiz-70561736-covo.aspx
HYUNDAI,HYUNDAI i20 1.0 TGDI Klass,13.399 €,2021,58.134 km,Gasolina,100 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/hyundai-i20-10-tgdi-74kw-100cv-klass-5p-gasolina-2021-en-barcelona-70565338-covo.aspx
HYUNDAI,HYUNDAI i20 1.2 MPI Klass,14.199 €,2023,39.763 km,Gasolina,84 cv,Sevilla,2026-05-07 12:22:40,C,https://www.coches.net/hyundai-i20-12-mpi-klass-5p-gasolina-2023-en-sevilla-70566491-covo.aspx
KIA,KIA Ceed 1.0 TGDi Drive,13.990 €,2022,105.572 km,Gasolina,100 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/kia-ceed-10-tgdi-74kw-100cv-drive-5p-gasolina-2022-en-barcelona-70569024-covo.aspx
CITROEN,CITROEN Berlingo Talla M BlueHDi 100 SHINE,15.999 €,2019,89.253 km,Diesel,102 cv,Sevilla,2026-05-07 12:22:40,C,https://www.coches.net/citroen-berlingo-talla-m-bluehdi-100-shine-5p-diesel-2019-en-sevilla-70574449-covo.aspx
FORD,FORD Focus 1.0 Ecoboost AutoSS Pow.Trend,7.990 €,2016,165.000 km,Gasolina,125 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/ford-focus-10-ecoboost-autoss-125cv-powtrend-5p-gasolina-2015-en-barcelona-70561583-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase C C 220 d,36.990 €,2023,51.178 km,Híbrido,200 cv,Valencia,2026-05-07 12:22:40,ECO,https://www.coches.net/mercedes-benz-clase-c-c-220-d-4p-electrico-hibrido-2023-en-valencia-70573509-covo.aspx
NISSAN,NISSAN QASHQAI dCi NCONNECTA,14.199 €,2019,149.088 km,Diesel,150 cv,Sevilla,2026-05-07 12:22:40,C,https://www.coches.net/nissan-qashqai-dci-150cv-110kw-nconnecta-5p-diesel-2018-en-sevilla-70550146-covo.aspx
PEUGEOT,PEUGEOT 208 GTLine 1.6L BlueHDi,10.990 €,2017,105.895 km,Diesel,100 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-208-5p-gtline-16l-bluehdi-73kw-100cv-5p-diesel-2017-en-madrid-70560350-covo.aspx
TOYOTA,TOYOTA Rav4 2.0D 150D 2WD Advance,14.700 €,2016,199.800 km,Diesel,143 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/toyota-rav4-20d-150d-2wd-advance-5p-diesel-2016-en-madrid-70572527-covo.aspx
FORD,FORD Fiesta 1.5 TDCi Titanium,6.300 €,2014,194.000 km,Diesel,75 cv,Sevilla,2026-05-07 12:22:40,C,https://www.coches.net/ford-fiesta-15-tdci-75cv-titanium-5p-5p-diesel-2014-en-sevilla-70553049-covo.aspx
KIA,KIA Sportage 1.6 GDI Basic 4x2,12.290 €,2015,76.574 km,Gasolina,135 cv,Zaragoza,2026-05-07 12:22:40,C,https://www.coches.net/kia-sportage-16-gdi-basic-4x2-5p-gasolina-2014-en-zaragoza-70574001-covo.aspx
FORD,FORD Fiesta 1.0 EcoBoost MHEV 92kW125CV STLine,12.799 €,2022,86.113 km,Híbrido,125 cv,Sevilla,2026-05-07 12:22:40,ECO,https://www.coches.net/ford-fiesta-10-ecoboost-mhev-92kw125cv-stline-5p-5p-electrico-hibrido-2022-en-sevilla-70550205-covo.aspx
PEUGEOT,PEUGEOT 308 SW Allure BlueHDI 130 SS EAT8,12.900 €,2020,142.750 km,Diesel,130 cv,Navarra,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-308-sw-allure-bluehdi-130-ss-eat8-5p-diesel-2020-en-navarra-70561444-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 250 e,22.990 €,2021,119.990 km,Híbrido enchufable,218 cv,Madrid,2026-05-07 12:22:40,CERO,https://www.coches.net/mercedes-benz-clase-a-a-250-e-5p-electrico-hibrido-2022-en-madrid-70556529-covo.aspx
CITROEN,CITROEN C4 Cactus BlueHDi 100 SS Shine,12.250 €,2020,77.000 km,Diesel,102 cv,Málaga,2026-05-07 12:22:40,C,https://www.coches.net/citroen-c4-cactus-bluehdi-100-ss-shine-5p-diesel-2020-en-malaga-70570301-covo.aspx
SEAT,SEAT León 1.2 TSI Reference,3.650 €,2011,316.200 km,Gasolina,105 cv,Alicante,2026-05-07 12:22:40,C,https://www.coches.net/seat-leon-12-tsi-reference-5p-gasolina-2011-en-alicante-70577901-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Golf 1.5 TSI,23.900 €,2025,18.500 km,Gasolina,116 cv,Tarragona,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-golf-golf-15-tsi-85kw-116cv-5p-gasolina-2026-en-tarragona-70564367-covo.aspx
BMW,BMW Serie 5 520d,16.799 €,2016,147.519 km,Diesel,190 cv,Sevilla,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-5-520d-4p-diesel-2017-en-sevilla-70566492-covo.aspx
PEUGEOT,PEUGEOT 3008 1.6BLUEHDI ALLURE AUTO SS,11.490 €,2017,177.341 km,Diesel,120 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-3008-16bluehdi-88kw-120cv-allure-auto-ss-5p-diesel-2016-en-madrid-70571881-covo.aspx
PEUGEOT,PEUGEOT 3008 1.5 BlueHDi SS Allure,11.100 €,2018,163.800 km,Diesel,130 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-3008-15-bluehdi-96kw-130cv-ss-allure-5p-diesel-2019-en-madrid-70572743-covo.aspx
CITROEN,CITROEN Grand C4 Picasso BlueHDi EAT6 Feel Edition,10.599 €,2016,80.121 km,Diesel,120 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/citroen-grand-c4-picasso-bluehdi-120cv-eat6-feel-edition-5p-diesel-2015-en-barcelona-70573744-covo.aspx
CITROEN,CITROEN Berlingo Talla M BlueHDi 100 FEEL,10.499 €,2018,170.000 km,Diesel,100 cv,Sta. C. Tenerife,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/citroen-berlingo-talla-m-bluehdi-100-feel-5p-diesel-2018-en-sta-c-tenerife-70578472-covo.aspx
PEUGEOT,PEUGEOT 3008 1.5L BlueHDi SS Allure,12.999 €,2018,160.650 km,Diesel,130 cv,Valencia,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/peugeot-3008-15l-bluehdi-96kw-130cv-ss-allure-5p-diesel-2017-en-valencia-70579340-covo.aspx
FORD,FORD Focus 1.5 Ecoblue Trend,14.400 €,2021,75.286 km,Diesel,120 cv,Pontevedra,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/ford-focus-15-ecoblue-88kw-trend-5p-diesel-2021-en-pontevedra-70526846-covo.aspx
MINI,MINI MINI Cooper,8.999 €,2008,99.900 km,Gasolina,120 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/mini-mini-cooper-3p-gasolina-2008-en-madrid-70566135-covo.aspx
AUDI,AUDI A4 RS4 Avant TFSI quattro tiptronic,81.900 €,2020,33.000 km,Gasolina,450 cv,Asturias,2026-05-07 12:22:40,C,https://www.coches.net/audi-a4-rs4-avant-tfsi-331kw-quattro-tiptronic-5p-gasolina-2020-en-asturias-59834781-covo.aspx
KIA,KIA Sportage 1.6 CRDi MHEV Drive 4x2,27.340 €,2023,15.419 km,Híbrido,136 cv,Sevilla,2026-05-07 12:22:40,ECO,https://www.coches.net/kia-sportage-16-crdi-mhev-100kw-136cv-drive-4x2-5p-electrico-hibrido-2023-en-sevilla-60250620-covo.aspx
